movie_title, movie_imdb_link, country, budget, gross, foreign_currency
Metropolis , http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1, Germany, DEM 6,000,000, $26,435(USA)(11November2011), true
Seven Samurai , http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1, Japan, $2,000,000, $269,061(USA)(29August2003), false
The Bridge on the River Kwai , http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1, UK, $3,000,000, $27,200,000(USA), false
Dr. No , http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1, UK, $1,100,000, $16,067,035(USA), false
Lawrence of Arabia , http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1, UK, $15,000,000, $6,000,000(USA), false
Cleopatra , http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1, UK, $31,115,000, $57,750,000(USA), false
From Russia with Love , http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1, UK, $2,000,000, $24,800,000(USA), false
Goldfinger , http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1, UK, $3,000,000, $51,100,000(USA), false
A Hard Day's Night , http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1, UK, $560,000, $515,005(USA)(18July2014), false
A Fistful of Dollars , http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1, Italy, $200,000, $3,500,000(USA), false
Thunderball , http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1, UK, $9,000,000, $63,600,000(USA), false
The Good the Bad and the Ugly, http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1, Italy, $1,200,000, $6,100,000(USA), false
You Only Live Twice , http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1, UK, $9,500,000, $43,100,000(USA), false
2001: A Space Odyssey , http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1, UK, $12,000,000, $56,715,371(USA), false
Oliver! , http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1, UK, $10,000,000, $16,800,000(USA), false
On Her Majesty's Secret Service , http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1, UK, $7,000,000, $22,800,000(USA), false
Mississippi Mermaid , http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1, France, $1,600,000, $26,893(USA)(18March2011), false
Tora! Tora! Tora! , http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1, Japan, $25,000,000, $14,500,000(USA), false
Diamonds Are Forever , http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1, UK, $7,200,000, $43,800,000(USA), false
Live and Let Die , http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1, UK, $7,000,000, $35,400,000(USA), false
The Man with the Golden Gun , http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1, UK, $13,000,000, $21,000,000(USA), false
Monty Python and the Holy Grail , http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1, UK, £229,575, $1,229,197(USA)(25May2012), true
March or Die , http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1, UK, $9,000,000, $1,000,000(USA), false
The Spy Who Loved Me , http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1, UK, $14,000,000, $46,800,000(USA), false
Caravans , http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1, Iran, $14,000,000, $1,000,000(USA), false
Alien , http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1, UK, $11,000,000, $78,900,000(USA), false
Moonraker , http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1, UK, $34,000,000, $62,700,000(USA), false
Raise the Titanic , http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1, UK, $36,000,000, $7,000,000(USA), false
Time Bandits , http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1, UK, $5,000,000, $42,365,600(USA), false
Das Boot , http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1, West Germany, $14,000,000, $11,433,134(USA)(25April1997), false
Chariots of Fire , http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1, UK, $5,500,000, $58,800,000(USA), false
The Beyond , http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1, Italy, $400,000, $126,387(USA)(13November1998), false
Escape from New York , http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1, UK, $6,000,000, $25,244,700(USA), false
For Your Eyes Only , http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1, UK, $28,000,000, $62,300,000(USA), false
Mad Max 2: The Road Warrior , http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1, Australia, $2,000,000, $9,003,011(USA), false
Porky's , http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1, Canada, $25,000,000, $105,500,000(USA), false
Never Say Never Again , http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1, UK, $36,000,000, $55,500,000(USA), false
Octopussy , http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1, UK, $27,500,000, $67,900,000(USA), false
Superman III , http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1, UK, $39,000,000, $60,000,000(USA), false
Yentl , http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1, UK, $12,000,000, $30,400,000(USA), false
The Bounty , http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1, UK, $25,000,000, $8,600,000(USA), false
The Hotel New Hampshire , http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1, UK, $7,500,000, $5,100,000(USA), false
Once Upon a Time in America , http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1, Italy, $30,000,000, $5,300,000(USA), false
A Passage to India , http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1, UK, $16,000,000, $26,400,000(USA), false
The Terminator , http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1, UK, $6,400,000, $38,400,000(USA), false
Brazil , http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1, UK, $15,000,000, $9,929,000(USA), false
Mad Max Beyond Thunderdome , http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1, Australia, $10,000,000, $36,200,000(USA), false
A View to a Kill , http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1, UK, $30,000,000, $50,300,000(USA), false
Witchboard , http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1, UK, $2,000,000, $7,369,373(USA), false
